Event Name,Event Date,Event Location,Event URL,Event Summary,Org Name,Org Website
Fall 2025 Body of Knowledge Training,"Sep 4, 2025 - Oct 23, 2025",Pittsburgh,Not available,"The administrator has placed this event on hold. While on hold, it is inaccessible by anyone except the administrator.",Pittsburgh PDMA,https://community.pdma.org/pittsburgh/events/calendar
Legal with Eryn Correa,8/13/25,"Ascender, 6401 Penn Ave 3rd Floor, Pittsburgh, PA, United States",,"Got questions about formation, equity, or fundraising? Eryn’s your person. Use this link to schedule a session with Eryn.",Ascender,https://ascenderpgh.com/event/
Technology & Law with Wei Yu,8/14/25,"Ascender, 6401 Penn Ave 3rd Floor, Pittsburgh, PA, United States",,"Navigating legal stuff in the AI era. Book a FREE 30-minute session with Wei, an Intellectual Property Attorney.",Ascender,https://ascenderpgh.com/event/
Product Strategy Office Hours with Mike Capsambelis,8/15/25,"Ascender, 6401 Penn Ave 3rd Floor, Pittsburgh, PA, United States",,"Book a FREE 30-minute session with Mike, Director, Product Management, Google.",Ascender,https://ascenderpgh.com/event/
Mastering Customer Discovery: Qualifiers & Questions That Drive Sales,8/19/25,,,"Join Ascender and our Entrepreneur-in-Residence, Tammy Szijarto, for a virtual workshop that will level up your customer discovery game.",Ascender,https://ascenderpgh.com/event/
HR with Ginny Nemchick,8/26/25,"Ascender, 6401 Penn Ave 3rd Floor, Pittsburgh, PA, United States",,"Need help with job descriptions, equitable hiring, or management tips? Ginny’s got you.",Ascender,https://ascenderpgh.com/event/
Technically Coffee,"Fri, May 30, 2025 to Fri, Dec 19, 2025",Bakery Square,View Event →,"A coffee meet up for anyone interested in technology and entrepreneurship to gather, relax, and chat over coffee.",InnovatePGH,https://innovatepgh.com/events-cal
Pitch & Walk PGH,"Sat, Jun 7, 2025 to Sat, Dec 20, 2025",Bitty & Beau’s,View Event →,"Open to all runners or walkers; bonus for those who are currently building and working in the world of startups. A great way to network, build relationships or friendships within the Pittsburgh startup ecosystem.",InnovatePGH,https://innovatepgh.com/events-cal
Bio Breakfast,"Tue, Jul 8, 2025 to Tue, Dec 16, 2025",Not specified,View Event →,An attempt to bridge the divides between the disparate groups that shape the regional biomedical sector.,InnovatePGH,https://innovatepgh.com/events-cal
"Pittsburgh Unlocked: Community + Pitch + Happy Hour, Dell Technologies Startup Tour","Tuesday, August 5, 2025",Not specified,View Event →,Series of events with PITTSBURGH UNLOCKED - learn from various community leaders and startups about our Startup Ecosystem.,InnovatePGH,https://innovatepgh.com/events-cal
AI Horizons,"Thu, Sep 11, 2025 to Fri, Sep 12, 2025",Not specified,View Event →,"AI is transforming industries, infrastructure, and society, and Pittsburgh’s AI Strike Team is driving responsible adoption and workforce development.",InnovatePGH,https://innovatepgh.com/events-cal
WITCON 2025,"Wednesday, October 8, 2025",Not specified,View Event →,Promoting a supportive environment where women of all backgrounds can flourish in technology.,InnovatePGH,https://innovatepgh.com/events-cal
2025 IT Leadership Golf Outing,8/4/25,"Treesdale Golf and Country Club | 1 Arnold Palmer Drive, Gibsonia, PA 15044",Not available,"The PTC’s Golf Outing is a signature event for executives and professionals working in southwestern Pennsylvania in the IT, engineering, healthcare and support services industries.",PTC,https://www.pghtech.org/events
Supply Chain Innovation Insights: Emerging Supply Chain Trends Across Manufacturing,8/6/25,"Nova Place Conference Center | 100 S Commons, Pittsburgh, PA 15212",Not available,Not available,PTC,https://www.pghtech.org/events
Huntington Bank Breakfast Briefing: Chicken of the Sea,8/27/25,Nova Place | Pittsburgh Technology Council Office,Not available,Not available,PTC,https://www.pghtech.org/events
Code & Coffee,8/9/25,"Prototype PGH, Pittsburgh, PA",,"Monthly opportunity for coding practice, meeting new friends, and getting help with programming problems.",Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
Code & Coffee,9/13/25,"Prototype PGH, Pittsburgh, PA",,"Monthly opportunity for coding practice, meeting new friends, and getting help with programming problems.",Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
Code & Coffee,10/11/25,"Prototype PGH, Pittsburgh, PA",,"Monthly opportunity for coding practice, meeting new friends, and getting help with programming problems.",Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
Code & Coffee,11/8/25,"Prototype PGH, Pittsburgh, PA",,"Monthly opportunity for coding practice, meeting new friends, and getting help with programming problems.",Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
Product at the Speed of AI,8/14/25,"CGI Pittsburgh, Pittsburgh, PA",,,Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
Lightning Talks!  Episode 1,8/13/25,"Aurora Showroom, Pittsburgh, PA",,,Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
LLM Agent Developers,8/7/25,"Hackers Guild PGH, Pittsburgh, PA",,,Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
How AI Cuts Through Bureaucracy to Find Real Opportunities,8/6/25,Virtual,,A virtual event discussing how AI can be used to find real opportunities through bureaucracy.,Pittsburgh Robotics Network,https://www.robopgh.org/events#events
August Robotics & Tech Happy Hour,8/21/25,Hop Farm Brewing Company,,A social event for robotics and tech enthusiasts at Hop Farm Brewing Company.,Pittsburgh Robotics Network,https://www.robopgh.org/events#events
Robotics & AI Discovery Day 2025,11/5/25,David L. Lawrence Convention Center,,A full day event showcasing the latest in robotics and AI at the David L. Lawrence Convention Center.,Pittsburgh Robotics Network,https://www.robopgh.org/events#events
Keeping Humans at the Heart of AI Products,"Thu, Sep 18, 2025, 5:30 PM EDT","Avenu: Oakland, Pittsburgh, PA",,"A meetup to explore how to build AI products that truly serve human needs by delving into the AI product life cycle, from ideation to deployment.",Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
Panel Discussion: Real Talk with SMEs,"Wed, Sep 17, 2025, 6:30 PM EDT","Carnegie Library - Squirrel Hill, Room B, Pittsburgh, PA",,A panel discussion with Subject Matter Experts organized by Write the Docs Pittsburgh.,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
Early Fall Picnic!  Shelter Change!,"Sun, Sep 14, 2025, 2:00 PM EDT",Needs location,,An early fall picnic organized by Pittsburgh Singles Over-50 Social Group.,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
September Book-Before the Fall  by Noah Hawley,"Sun, Sep 21, 2025, 11:00 AM EDT","Bakery Square, Pittsburgh, PA",,A book discussion on 'Before the Fall' by Noah Hawley organized by Books n Brunch PGH Area.,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Santiago,7/31/25,Santiago,,ProductTank meetup in Santiago,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Thanh Pho Ho Chi Minh,8/1/25,Thanh Pho Ho Chi Minh,,ProductTank meetup in Thanh Pho Ho Chi Minh,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Delhi,8/2/25,Delhi,,ProductTank meetup in Delhi,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank DFW,8/5/25,"Dallas, US",,ProductTank meetup in Dallas,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Chicago,8/11/25,"Chicago, US",,ProductTank meetup in Chicago,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Madison,8/12/25,"Madison, US",,ProductTank meetup in Madison,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Toronto,8/12/25,"Toronto, CA",,ProductTank meetup in Toronto,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Columbus,8/18/25,"Columbus, US",,ProductTank meetup in Columbus,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank SF,8/20/25,"San Francisco, US",,ProductTank meetup in San Francisco,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Seattle,8/21/25,"Seattle, US",,ProductTank meetup in Seattle,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Waterloo,8/21/25,"Waterloo, CA",,ProductTank meetup in Waterloo,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Orlando,8/28/25,"Orlando, US",,ProductTank meetup in Orlando,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Salt Lake City,9/17/25,"Salt Lake City, US",,ProductTank meetup in Salt Lake City,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Pittsburgh,9/18/25,"Pittsburgh, US",,ProductTank meetup in Pittsburgh,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Los Angeles,10/16/25,"Los Angeles, US",,ProductTank meetup in Los Angeles,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
ProductTank Chicago,10/16/25,"Chicago, US",,ProductTank meetup in Chicago,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
INDUSTRY 2025,2025,"Cleveland, OH",,Industry conference in Cleveland,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
#mtpcon London 2026,2026,London,,Mind the Product conference in London,Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
AI & Robotics Venture Day 2025,9/24/25,"Pittsburgh, Pennsylvania",,An event focused on AI and Robotics ventures organized by the Swartz Center for Entrepreneurship.,CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CONNECTS: Science vs. Art in Pricing and Revenue*,9/25/25,Swartz Center for Entrepreneurship,,"A discussion on the science and art involved in pricing and revenue, organized by the Swartz Center for Entrepreneurship.",CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CMU S4: Swartz Student Startup Showcase,9/26/25,Swartz Center for Entrepreneurship,,A showcase of student startups at the Swartz Center for Entrepreneurship.,CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CONNECTS: Pitching Innovation to the C-Suite,9/30/25,Swartz Center for Entrepreneurship,,"A session on how to pitch innovative ideas to the C-Suite, organized by the Swartz Center for Entrepreneurship.",CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CONNECTS: Customer Discovery*,10/1/25,Swartz Center for Entrepreneurship,,"A session on customer discovery, organized by the Swartz Center for Entrepreneurship.",CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CONNECTS: Splitting the Founder’s Pie & Other Aspects of Equity Compensation,10/7/25,Swartz Center for Entrepreneurship,,"A session on equity compensation and splitting the founder's pie, organized by the Swartz Center for Entrepreneurship.",CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CONNECTS: Nonprofit Finance and Funding*,10/9/25,Swartz Center for Entrepreneurship,,"A session on finance and funding for nonprofits, organized by the Swartz Center for Entrepreneurship.",CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
7th Annual Corporate Entrepreneurship Forum - AGE of NexT: Beyond Use Cases,10/22/25,Tepper School of Business,,The 7th Annual Corporate Entrepreneurship Forum discussing the AGE of NexT: Beyond Use Cases.,CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
CONNECTS: Pitch with Production Value*,10/28/25,Swartz Center for Entrepreneurship,,"A session on how to pitch with production value, organized by the Swartz Center for Entrepreneurship.",CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
Pgh getWITit  & Giant Eagle WBRG: EMFLOWHER Brunch,8/27/25,"Pittsburgh, Pennsylvania",Not available,"Empowerment, Brunch, and Bouquets!",GetWitIT,https://getwitit.org/chapter/pittsburgh-chapter/
"Pittsburgh WITCON 2025: Thrive Forward, Shape Tomorrow",10/8/25,"Pittsburgh, Pennsylvania",Not available,"Speakers, sponsors, and volunteers needed! Send a note to pittsburgh.pa.chapter@getwitit.org.",GetWitIT,https://getwitit.org/chapter/pittsburgh-chapter/
Startup Exhibition at the SG Conference,4/27/26,Silicon Valley,,"Showcase your startup to 5,000+ entrepreneurs, investors, and innovators.",StartupGrindPGH,https://www.startupgrind.com/pittsburgh/
ProductCamp Pittsburgh,5/17/25,LaRoche University,Not available,"ProductCamp Pittsburgh is the FREE premiere event for product managers, marketers, designers, CxOs, founders, engineers, and researchers to discuss best practices, share insights and make connections with top minds in the local product community.",ProductCamp Pittsburgh,https://www.pghpcamp.com/
"The Advisor Series: Part One ""Growth in Uncertain Times""",8/21/25,"Pittsburgh, PA",,Join five accomplished advisors for an intimate conversation about turning uncertainty into competitive advantage. Our panel brings real-world experience from sales strategy and M&A advisory to business transformation and cost optimization.,Transform Labs,https://www.transformlabs.com/markets/pittsburgh-pa
Optimize for Impact: The Marketing Playbook for Maximum Efficiency,8/7/25,Virtual; Zoom Meeting,,"Stephanie McColly, a marketing and business strategist and EOS Integrator, will discuss how marketing teams can optimize for impact.",Pittsburgh AMA,https://amapittsburgh.org/events/
2025 Marquee Awards,12/4/25,"Opya Studios, 2402 Sidney St, Pittsburgh, United States",,"The Marquee Awards from the American Marketing Association, is Pittsburgh's premier marketing event showcasing the bright talent of Pittsburgh’s marketing elite.",Pittsburgh AMA,https://amapittsburgh.org/events/
Product at the Speed of AI,8/14/25,Pittsburgh,,An event by Pittsburgh Scaled Agile Framework (SAFe) Meetup,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
Code & Coffee,8/9/25,Pittsburgh,,A monthly meetup by Code & Coffee Pittsburgh,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
LLM Agent Developers,8/7/25,Hybrid,,A bi-weekly event by Hackers Guild PGH Meetup Group,Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
